spatial_id,bicycling.atm.1,bicycling.atm.2,bicycling.atm.3,bicycling.bakery.1,bicycling.bakery.2,bicycling.bakery.3,bicycling.bakery.4,bicycling.bakery.5,bicycling.bank.1,bicycling.bank.2,bicycling.bank.3,bicycling.beauty_salon.1,bicycling.beauty_salon.2,bicycling.beauty_salon.3,bicycling.beauty_salon.4,bicycling.beauty_salon.5,bicycling.book_store.1,bicycling.book_store.2,bicycling.book_store.3,bicycling.bus_station.1,bicycling.bus_station.2,bicycling.bus_station.3,bicycling.cafe.1,bicycling.cafe.2,bicycling.cafe.3,bicycling.cafe.4,bicycling.cafe.5,bicycling.clothing_store.1,bicycling.clothing_store.2,bicycling.clothing_store.3,bicycling.clothing_store.4,bicycling.clothing_store.5,bicycling.convenience_store.1,bicycling.convenience_store.2,bicycling.convenience_store.3,bicycling.convenience_store.4,bicycling.convenience_store.5,bicycling.dentist.1,bicycling.dentist.2,bicycling.dentist.3,bicycling.department_store.1,bicycling.department_store.2,bicycling.department_store.3,bicycling.department_store.4,bicycling.department_store.5,bicycling.doctor.1,bicycling.doctor.2,bicycling.doctor.3,bicycling.electronics_store.1,bicycling.electronics_store.2,bicycling.electronics_store.3,bicycling.florist.1,bicycling.florist.2,bicycling.florist.3,bicycling.furniture_store.1,bicycling.furniture_store.2,bicycling.furniture_store.3,bicycling.gym.1,bicycling.gym.2,bicycling.gym.3,bicycling.hair_care.1,bicycling.hair_care.2,bicycling.hair_care.3,bicycling.hair_care.4,bicycling.hair_care.5,bicycling.hardware_store.1,bicycling.hardware_store.2,bicycling.hardware_store.3,bicycling.home_goods_store.1,bicycling.home_goods_store.2,bicycling.home_goods_store.3,bicycling.home_goods_store.4,bicycling.home_goods_store.5,bicycling.hospital.1,bicycling.hospital.2,bicycling.hospital.3,bicycling.laundry.1,bicycling.laundry.2,bicycling.laundry.3,bicycling.library.1,bicycling.library.2,bicycling.library.3,bicycling.liquor_store.1,bicycling.liquor_store.2,bicycling.liquor_store.3,bicycling.meal_takeaway.1,bicycling.meal_takeaway.2,bicycling.meal_takeaway.3,bicycling.meal_takeaway.4,bicycling.meal_takeaway.5,bicycling.park.1,bicycling.park.2,bicycling.park.3,bicycling.park.4,bicycling.park.5,bicycling.pet_store.1,bicycling.pet_store.2,bicycling.pet_store.3,bicycling.pharmacy.1,bicycling.pharmacy.2,bicycling.pharmacy.3,bicycling.restaurant.1,bicycling.restaurant.2,bicycling.restaurant.3,bicycling.restaurant.4,bicycling.restaurant.5,bicycling.restaurant.6,bicycling.restaurant.7,bicycling.restaurant.8,bicycling.restaurant.9,bicycling.restaurant.10,bicycling.school.1,bicycling.school.2,bicycling.school.3,bicycling.shoe_store.1,bicycling.shoe_store.2,bicycling.shoe_store.3,bicycling.shopping_mall.1,bicycling.shopping_mall.2,bicycling.shopping_mall.3,bicycling.store.1,bicycling.store.2,bicycling.store.3,bicycling.store.4,bicycling.store.5,bicycling.supermarket.1,bicycling.supermarket.2,bicycling.supermarket.3,bicycling.supermarket.4,bicycling.supermarket.5,bicycling.train_station.1
060770005001,2,25,28,2,8,8,18,24,8,14,17,2,3,4,10,11,9,12,35,11,13,17,8,16,18,24,24,7,8,10,34,36,2,18,18,23,33,7,7,7,5,7,22,24,26,5,6,6,7,12,12,11,13,28,4,7,11,9,11,14,6,7,8,9,19,4,18,18,6,6,7,8,9,5,32,38,3,9,13,8,8,22,7,8,13,4,4,7,9,39,6,7,8,14,40,5,6,9,7,7,7,9,10,14,15,15,16,16,18,19,19,3,8,10,5,7,26,4,9,11,11,11,13,13,13,2,9,14,14,17,6
060770005002,3,4,21,4,4,8,11,20,4,6,9,3,4,4,8,22,9,20,22,8,10,14,4,4,27,35,35,5,12,13,14,29,3,9,10,16,21,10,10,10,3,4,19,29,31,2,2,2,10,23,29,9,10,15,5,6,11,3,4,14,7,8,10,10,30,1,9,19,4,4,4,7,7,9,16,42,5,7,13,7,17,17,5,8,16,4,4,15,29,30,4,5,9,12,16,1,7,13,9,11,11,7,8,11,12,13,14,14,15,16,16,4,6,13,3,4,19,5,5,6,8,8,10,10,10,5,12,12,13,17,3
060770006001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
060770006002,6,9,16,6,7,7,7,12,2,6,8,5,5,5,6,7,14,19,19,6,8,8,6,7,8,10,12,6,8,8,9,10,4,5,5,5,6,6,6,8,5,6,14,33,35,6,6,6,6,9,9,6,7,8,2,6,10,5,6,7,5,7,7,7,8,3,7,13,2,2,6,7,8,5,11,11,4,8,12,5,7,12,2,3,8,6,7,8,9,10,5,5,8,8,10,5,11,18,5,5,9,5,5,5,5,6,6,6,7,10,11,9,11,14,6,7,7,7,8,9,2,5,6,6,9,7,8,9,10,10,5
060770007001,5,8,9,2,3,4,12,21,5,8,10,2,2,2,3,11,14,17,19,0,0,11,3,6,6,12,12,2,6,8,10,11,1,2,2,2,13,4,6,6,6,7,17,35,37,5,6,8,3,6,13,3,3,6,2,2,4,5,6,6,2,3,4,6,8,3,6,11,2,2,6,8,10,1,13,13,4,5,6,6,13,14,4,6,6,2,4,6,6,9,6,9,10,10,10,7,13,19,5,5,13,2,2,2,2,4,4,4,7,8,8,10,13,14,6,9,17,6,7,10,1,2,3,6,11,6,8,10,11,12,3
060770007002,5,9,10,1,2,3,6,22,6,8,10,2,2,4,5,6,12,15,18,2,2,4,3,4,5,14,16,3,4,5,11,11,3,4,4,11,13,2,4,4,7,9,18,36,38,2,7,8,3,4,4,2,4,5,2,4,6,4,5,10,2,3,5,6,6,4,5,14,3,4,5,8,13,2,8,15,3,6,7,5,16,19,3,8,12,3,3,4,4,11,4,5,6,11,15,9,14,21,6,6,9,3,5,5,5,7,10,11,11,13,14,3,6,11,6,7,10,4,6,8,3,3,4,8,13,5,10,11,14,15,1
060770007003,7,12,14,5,6,12,13,30,7,13,20,2,3,5,7,9,12,13,16,6,6,16,6,6,10,13,36,4,6,7,9,17,5,6,15,16,17,2,6,6,8,10,21,37,39,2,9,11,2,2,6,5,6,9,1,7,10,3,5,11,3,5,5,7,11,6,11,14,2,4,8,9,11,9,17,30,5,14,18,11,13,20,5,6,16,2,5,6,6,13,1,6,8,10,12,10,15,23,7,11,17,3,4,5,5,5,8,9,9,12,14,6,9,10,8,12,13,5,6,18,6,6,7,15,15,7,12,14,16,19,3
060770007004,9,10,18,6,7,14,16,28,9,10,21,4,5,7,13,14,11,13,16,8,8,17,7,12,16,17,37,6,11,18,18,22,5,6,12,17,20,5,10,10,10,13,22,38,41,3,10,11,3,7,14,6,8,12,3,12,17,5,7,8,4,7,9,13,13,7,8,18,4,11,11,14,18,11,18,30,6,6,10,11,12,25,6,13,13,2,7,7,15,20,9,12,13,13,19,13,23,25,11,13,18,4,5,5,6,6,7,11,12,14,15,9,12,13,10,13,26,5,17,21,7,8,8,11,16,12,14,15,18,19,5
060770008011,12,12,20,11,13,20,35,46,29,41,47,9,12,14,21,31,10,17,20,17,17,26,12,20,22,35,36,14,19,21,21,23,15,23,23,29,32,11,11,21,14,17,34,35,35,15,15,15,14,15,21,17,19,23,14,21,24,14,15,18,9,9,19,21,24,20,21,30,14,15,16,20,27,19,19,53,20,22,23,29,31,33,16,26,36,18,19,20,21,34,16,17,23,29,33,22,51,52,18,21,27,12,14,14,15,16,19,20,21,21,27,11,12,14,20,22,35,9,9,10,16,17,17,19,26,18,23,23,24,46,13
060770008012,7,7,15,8,9,10,22,37,14,16,33,9,11,17,19,21,7,19,23,15,15,18,8,12,17,20,39,12,15,17,20,20,6,11,18,20,28,8,9,16,16,20,24,41,44,11,11,16,7,8,20,10,10,11,7,15,23,7,9,24,9,9,10,11,20,12,19,20,8,11,17,17,20,20,21,25,9,15,22,17,19,21,15,21,27,7,9,13,20,21,12,15,16,17,20,19,29,31,11,15,17,8,8,9,9,10,11,17,17,18,20,14,18,25,16,19,26,11,11,27,15,15,15,17,17,11,16,17,18,25,11
