spatial_id,driving.atm.1,driving.atm.2,driving.atm.3,driving.bakery.1,driving.bakery.2,driving.bakery.3,driving.bakery.4,driving.bakery.5,driving.bank.1,driving.bank.2,driving.bank.3,driving.beauty_salon.1,driving.beauty_salon.2,driving.beauty_salon.3,driving.beauty_salon.4,driving.beauty_salon.5,driving.book_store.1,driving.book_store.2,driving.book_store.3,driving.bus_station.1,driving.bus_station.2,driving.bus_station.3,driving.cafe.1,driving.cafe.2,driving.cafe.3,driving.cafe.4,driving.cafe.5,driving.clothing_store.1,driving.clothing_store.2,driving.clothing_store.3,driving.clothing_store.4,driving.clothing_store.5,driving.convenience_store.1,driving.convenience_store.2,driving.convenience_store.3,driving.convenience_store.4,driving.convenience_store.5,driving.dentist.1,driving.dentist.2,driving.dentist.3,driving.department_store.1,driving.department_store.2,driving.department_store.3,driving.department_store.4,driving.department_store.5,driving.doctor.1,driving.doctor.2,driving.doctor.3,driving.electronics_store.1,driving.electronics_store.2,driving.electronics_store.3,driving.florist.1,driving.florist.2,driving.florist.3,driving.furniture_store.1,driving.furniture_store.2,driving.furniture_store.3,driving.gym.1,driving.gym.2,driving.gym.3,driving.hair_care.1,driving.hair_care.2,driving.hair_care.3,driving.hair_care.4,driving.hair_care.5,driving.hardware_store.1,driving.hardware_store.2,driving.hardware_store.3,driving.home_goods_store.1,driving.home_goods_store.2,driving.home_goods_store.3,driving.home_goods_store.4,driving.home_goods_store.5,driving.hospital.1,driving.hospital.2,driving.hospital.3,driving.laundry.1,driving.laundry.2,driving.laundry.3,driving.library.1,driving.library.2,driving.library.3,driving.liquor_store.1,driving.liquor_store.2,driving.liquor_store.3,driving.meal_takeaway.1,driving.meal_takeaway.2,driving.meal_takeaway.3,driving.meal_takeaway.4,driving.meal_takeaway.5,driving.park.1,driving.park.2,driving.park.3,driving.park.4,driving.park.5,driving.pet_store.1,driving.pet_store.2,driving.pet_store.3,driving.pharmacy.1,driving.pharmacy.2,driving.pharmacy.3,driving.restaurant.1,driving.restaurant.2,driving.restaurant.3,driving.restaurant.4,driving.restaurant.5,driving.restaurant.6,driving.restaurant.7,driving.restaurant.8,driving.restaurant.9,driving.restaurant.10,driving.school.1,driving.school.2,driving.school.3,driving.shoe_store.1,driving.shoe_store.2,driving.shoe_store.3,driving.shopping_mall.1,driving.shopping_mall.2,driving.shopping_mall.3,driving.store.1,driving.store.2,driving.store.3,driving.store.4,driving.store.5,driving.supermarket.1,driving.supermarket.2,driving.supermarket.3,driving.supermarket.4,driving.supermarket.5,driving.train_station.1
060770007003,6,6,7,3,4,7,8,9,6,8,9,2,3,4,5,5,7,8,9,4,4,9,4,5,5,9,12,2,5,5,6,9,3,4,9,9,9,2,4,4,6,6,10,10,14,2,5,6,2,2,4,4,4,6,2,5,5,3,4,6,3,4,4,5,6,4,8,8,2,3,5,5,5,5,9,11,3,6,10,7,7,7,3,4,7,3,4,4,4,9,2,4,5,6,8,6,8,8,4,7,9,3,3,4,4,4,5,5,6,7,8,5,6,7,6,8,8,4,4,7,4,4,5,9,9,4,8,8,9,10,3
060770007004,6,7,8,4,5,8,9,12,6,7,10,3,4,5,7,7,6,7,10,5,5,10,5,6,9,10,13,4,6,10,11,11,4,4,6,10,11,4,7,7,7,7,9,11,15,3,6,6,3,5,6,5,5,7,3,6,10,3,5,6,4,4,6,7,7,5,5,8,4,6,6,6,11,6,10,11,4,4,7,8,8,8,5,9,9,2,5,5,8,9,7,7,8,8,11,7,7,10,6,8,11,4,4,4,4,5,6,6,7,8,9,7,7,8,7,9,12,3,9,10,5,6,6,7,10,6,9,9,10,11,4
060770008011,7,8,12,6,8,12,16,17,13,17,20,4,7,9,11,13,5,10,12,10,10,13,8,11,12,12,18,9,11,11,12,13,8,9,10,10,13,6,6,11,9,10,16,18,18,9,9,9,9,9,12,9,10,13,9,11,12,8,9,9,4,4,11,11,13,8,11,12,8,9,10,10,13,11,12,15,11,11,12,11,13,13,9,12,15,10,11,12,12,12,9,9,10,14,16,12,17,17,10,13,14,8,8,8,9,10,10,10,11,11,13,6,7,10,11,12,18,4,4,5,10,10,10,10,13,9,13,13,13,17,9
060770008012,3,3,7,5,6,6,8,8,8,8,10,5,6,6,7,7,3,6,9,10,10,11,4,5,8,8,11,6,7,10,11,11,3,5,6,10,11,5,5,6,7,7,9,9,10,6,6,6,3,4,6,6,6,6,4,5,10,4,6,8,5,5,6,6,6,6,8,9,4,5,6,6,11,8,9,11,5,8,13,6,8,8,7,8,10,4,6,6,9,9,6,7,7,8,9,6,7,10,5,6,9,5,5,5,6,6,6,7,7,8,10,6,7,12,7,9,10,6,6,8,7,9,9,9,11,6,6,9,10,10,7
060770008013,5,6,6,7,7,7,9,14,7,8,10,6,6,7,7,8,3,6,9,6,9,9,5,6,6,9,13,5,6,6,8,9,4,5,8,8,9,6,7,8,7,7,14,17,17,6,6,7,6,10,10,6,8,8,6,6,8,6,6,8,6,6,6,7,7,5,8,10,6,6,6,6,10,7,9,12,7,8,10,8,10,11,7,8,8,8,8,9,9,12,3,8,8,9,10,9,10,14,7,8,10,5,5,6,6,7,7,7,8,8,10,6,6,8,7,8,13,4,4,8,7,8,8,9,10,6,8,10,10,16,7
060770009001,10,11,12,4,7,12,15,15,7,10,12,8,9,10,12,13,4,9,11,9,9,9,5,5,9,12,16,9,10,10,11,13,7,7,7,13,14,7,7,8,8,9,9,13,17,8,8,9,6,6,8,6,8,12,14,15,16,5,13,13,3,5,7,10,15,10,12,15,7,7,8,8,14,10,11,12,5,8,13,6,10,15,4,10,10,5,13,14,14,15,7,10,12,12,12,2,9,13,7,9,11,6,7,7,7,8,9,9,9,13,15,7,10,13,9,10,10,7,10,12,8,9,9,11,12,5,10,12,14,17,9
060770009002,6,14,14,6,8,10,12,15,10,11,12,6,7,8,9,11,4,9,10,9,9,11,8,10,11,11,12,8,9,10,12,14,4,9,9,12,12,8,8,8,7,11,11,15,17,7,7,7,9,11,11,3,9,15,11,12,13,7,13,15,8,8,9,9,9,5,9,9,7,7,7,8,14,10,10,11,4,9,11,9,9,12,9,11,14,4,5,8,9,14,4,7,11,12,16,6,10,12,8,9,10,5,6,6,6,7,8,8,8,8,9,7,8,12,7,10,11,8,9,12,7,8,8,8,11,7,9,9,10,14,8
060770009003,10,12,13,7,11,11,12,13,9,12,14,8,10,11,12,13,5,8,10,8,9,10,7,8,11,16,17,9,10,10,11,12,9,9,9,11,16,8,8,8,7,11,12,14,15,7,7,15,4,9,14,7,8,10,12,13,16,10,12,12,7,9,12,13,14,10,12,12,7,7,8,8,11,8,9,12,6,10,15,7,9,12,10,12,12,4,10,13,14,14,3,9,10,14,14,10,12,12,6,9,14,6,7,7,7,9,9,9,9,13,14,10,13,13,8,11,14,8,13,14,8,9,9,9,11,5,7,7,12,17,8
060770009004,9,11,12,6,9,9,9,11,7,11,13,7,7,8,8,11,7,9,10,8,8,11,11,12,12,13,15,8,10,11,11,12,7,9,9,10,10,8,8,9,6,9,11,13,14,6,6,10,7,13,14,8,9,10,10,12,14,11,12,12,6,7,9,10,13,9,9,10,6,6,6,10,13,7,8,11,9,10,11,8,10,11,3,5,11,3,9,11,12,12,4,7,12,12,13,9,11,11,8,11,13,6,6,6,6,6,8,8,8,12,13,12,12,14,8,9,10,7,12,14,7,7,8,9,10,6,7,9,11,16,7
060770009005,14,14,16,11,12,12,13,14,7,9,11,7,7,10,10,16,9,11,11,8,8,9,11,12,12,12,17,12,12,13,13,13,11,12,14,14,21,9,9,10,8,12,13,13,16,8,8,16,8,10,13,11,16,16,12,12,17,12,14,14,9,10,10,11,11,10,13,16,8,8,8,16,17,10,12,13,6,8,13,11,12,13,7,13,13,5,6,14,14,19,10,13,14,15,15,11,13,13,12,12,15,7,7,7,8,8,10,10,14,17,17,10,14,17,10,12,14,14,16,18,9,9,9,16,16,8,10,12,12,18,9
