spatial_id,atm,atm,atm,bakery,bakery,bakery,bakery,bakery,bank,bank,bank,beauty_salon,beauty_salon,beauty_salon,beauty_salon,beauty_salon,book_store,book_store,book_store,bus_station,bus_station,bus_station,cafe,cafe,cafe,cafe,cafe,clothing_store,clothing_store,clothing_store,clothing_store,clothing_store,convenience_store,convenience_store,convenience_store,convenience_store,convenience_store,dentist,dentist,dentist,department_store,department_store,department_store,doctor,doctor,doctor,electronics_store,electronics_store,electronics_store,florist,florist,florist,furniture_store,furniture_store,furniture_store,gym,gym,gym,hair_care,hair_care,hair_care,hair_care,hair_care,hardware_store,hardware_store,hardware_store,home_goods_store,home_goods_store,home_goods_store,home_goods_store,home_goods_store,hospital,hospital,hospital,laundry,laundry,laundry,library,library,library,liquor_store,liquor_store,liquor_store,meal_takeaway,meal_takeaway,meal_takeaway,meal_takeaway,meal_takeaway,park,park,park,park,park,pet_store,pet_store,pet_store,pharmacy,pharmacy,pharmacy,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,school,school,school,shoe_store,shoe_store,shoe_store,shopping_mall,shopping_mall,shopping_mall,store,store,store,store,store,supermarket,supermarket,supermarket,supermarket,supermarket,train_station
060770007003,6,6,7,3,4,7,9,10,6,8,9,2,3,4,5,5,7,8,9,4,4,9,4,5,5,9,10,3,5,5,6,9,3,4,9,9,9,2,4,4,6,6,9,2,5,6,2,3,4,4,4,6,1,5,5,3,4,6,3,4,4,5,6,3,8,8,2,3,5,5,5,5,9,11,3,6,10,7,7,7,3,4,7,3,4,4,4,9,2,4,5,8,8,6,8,8,4,7,9,3,3,3,3,4,5,5,6,6,8,5,6,7,6,8,8,4,4,7,4,4,5,9,9,4,8,8,9,10,3
060770007004,6,7,8,4,5,8,8,9,6,7,10,3,4,5,7,7,6,7,10,5,5,10,5,6,9,10,10,4,6,10,11,11,4,4,6,10,11,4,7,7,7,7,11,3,6,6,3,5,6,5,5,7,3,6,10,3,5,5,4,4,6,7,7,5,5,8,4,6,6,6,11,6,11,11,4,4,7,8,8,9,5,6,9,2,5,5,8,9,7,7,7,8,11,7,7,10,6,8,10,3,4,4,4,4,5,6,7,7,9,7,7,8,7,9,11,3,9,11,5,6,6,7,10,6,9,9,10,11,4
060770008011,7,8,12,6,10,12,13,15,8,12,15,4,7,9,11,13,5,10,12,10,10,13,9,11,12,13,16,9,11,11,12,14,10,10,11,11,13,6,6,11,9,11,13,9,9,9,9,9,12,9,10,13,9,12,13,8,9,9,4,4,11,11,13,9,12,14,9,9,10,10,13,11,11,13,9,11,14,11,13,13,9,10,11,10,12,12,12,14,8,9,9,12,14,10,12,13,10,13,14,8,8,8,8,9,10,10,11,11,13,6,7,10,12,13,14,4,4,11,10,10,10,10,13,9,12,13,13,13,9
060770008012,3,3,8,6,7,7,11,12,8,8,10,6,6,7,8,8,3,7,10,11,11,11,4,6,10,11,11,6,8,11,11,12,4,6,6,10,12,6,6,7,8,8,11,6,6,7,4,5,7,6,7,7,5,6,11,5,7,8,5,6,6,7,7,6,9,9,5,6,6,7,12,8,12,13,6,9,13,6,9,9,8,9,9,4,6,7,10,10,7,8,8,9,10,7,8,11,5,6,10,6,6,6,6,6,7,7,8,8,11,7,8,13,8,9,11,7,7,9,8,10,10,10,11,6,7,10,11,11,8
060770008013,5,6,6,7,7,8,8,9,7,8,10,6,6,7,7,8,3,6,9,6,9,9,6,6,6,9,9,5,6,6,8,9,5,6,8,9,9,6,7,7,7,7,10,6,6,7,6,10,10,6,8,8,6,6,8,6,7,8,6,6,6,7,8,5,8,10,6,6,6,6,10,7,9,9,6,7,10,8,10,11,4,7,8,6,8,8,8,9,3,8,9,10,10,6,9,10,7,8,10,5,5,6,6,7,7,7,8,8,9,6,6,8,7,8,10,4,4,8,7,8,8,9,10,6,8,9,10,10,7
060770009001,7,9,9,3,4,7,10,11,4,6,13,5,8,9,10,12,4,8,11,9,9,12,5,5,6,7,10,3,6,9,10,10,5,9,12,12,13,7,7,8,8,9,11,8,8,8,7,9,10,5,6,12,3,4,13,5,6,6,8,9,11,11,12,4,9,10,7,7,8,8,8,8,9,9,3,6,7,5,5,10,8,10,10,4,6,9,9,10,3,3,4,10,12,2,10,12,4,4,7,6,6,7,7,7,7,8,9,9,9,6,7,10,8,11,13,7,10,12,8,8,9,11,12,3,5,10,10,10,8
060770009002,6,6,7,5,9,9,10,14,8,9,13,5,7,8,11,11,4,8,10,8,9,11,9,9,9,9,13,7,8,9,10,10,8,10,10,11,14,7,8,8,8,9,11,7,7,7,9,9,10,2,7,12,7,9,11,9,9,10,8,8,9,9,9,7,9,9,7,7,7,7,8,7,11,12,4,7,10,9,9,9,10,12,13,7,8,8,9,12,7,9,12,13,13,6,10,11,8,9,10,5,6,6,6,7,7,8,8,8,9,7,7,8,9,11,11,8,8,12,7,8,8,8,10,7,9,10,10,10,8
060770009003,7,9,11,5,6,10,10,14,6,7,13,8,9,10,11,12,4,8,11,9,9,11,7,7,9,10,12,5,9,11,13,14,7,11,12,12,13,8,8,8,8,8,11,7,7,7,8,9,9,5,7,13,4,9,12,7,8,8,7,9,9,9,12,9,10,11,7,7,7,9,9,10,10,11,6,8,9,7,7,9,6,9,9,8,9,9,10,13,3,6,10,13,14,4,10,11,6,6,9,5,6,6,7,7,7,9,9,9,9,7,9,9,7,11,12,8,11,12,8,8,9,9,11,5,7,10,11,12,8
060770009004,6,6,8,4,4,9,9,12,8,9,12,7,7,8,8,8,4,8,10,8,8,10,8,9,10,13,13,8,10,10,10,12,8,10,10,11,12,8,8,9,7,7,10,6,6,6,7,9,14,4,7,13,4,9,10,9,9,11,6,7,8,8,8,8,8,10,6,6,6,7,8,12,12,12,7,8,8,8,9,9,8,8,11,7,8,9,9,11,8,8,10,11,12,5,9,10,8,8,11,4,5,6,6,6,6,8,8,8,8,6,6,8,7,10,10,7,10,11,7,7,8,9,10,7,8,9,10,10,7
060770009005,8,8,9,6,8,11,12,15,9,11,14,7,8,9,9,13,6,10,11,10,10,12,10,10,11,12,15,9,9,9,10,12,10,11,12,13,14,9,9,9,9,9,12,8,8,8,10,10,12,5,11,13,5,8,9,11,11,12,8,9,10,10,10,10,10,10,8,8,8,8,9,13,13,14,9,10,10,10,11,11,9,13,15,8,10,10,11,13,6,10,11,13,14,8,11,12,9,12,13,6,7,7,7,8,8,8,9,9,10,8,8,10,9,12,12,9,9,13,8,9,9,10,12,8,10,12,12,12,9
