spatial_id,atm,atm,atm,bakery,bakery,bakery,bakery,bakery,bank,bank,bank,beauty_salon,beauty_salon,beauty_salon,beauty_salon,beauty_salon,book_store,book_store,book_store,bus_station,bus_station,bus_station,cafe,cafe,cafe,cafe,cafe,clothing_store,clothing_store,clothing_store,clothing_store,clothing_store,convenience_store,convenience_store,convenience_store,convenience_store,convenience_store,dentist,dentist,dentist,department_store,department_store,department_store,doctor,doctor,doctor,electronics_store,electronics_store,electronics_store,florist,florist,florist,furniture_store,furniture_store,furniture_store,gym,gym,gym,hair_care,hair_care,hair_care,hair_care,hair_care,hardware_store,hardware_store,hardware_store,home_goods_store,home_goods_store,home_goods_store,home_goods_store,home_goods_store,hospital,hospital,hospital,laundry,laundry,laundry,library,library,library,liquor_store,liquor_store,liquor_store,meal_takeaway,meal_takeaway,meal_takeaway,meal_takeaway,meal_takeaway,park,park,park,park,park,pet_store,pet_store,pet_store,pharmacy,pharmacy,pharmacy,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,restaurant,school,school,school,shoe_store,shoe_store,shoe_store,shopping_mall,shopping_mall,shopping_mall,store,store,store,store,store,supermarket,supermarket,supermarket,supermarket,supermarket,train_station
060770009004,14,14,29,7,10,20,22,26,12,12,45,17,17,26,26,28,8,12,33,24,24,32,11,22,33,47,53,20,22,22,22,38,12,21,33,34,52,12,13,13,17,21,37,17,17,17,25,37,43,4,10,25,8,21,39,12,12,29,10,13,26,26,37,19,28,NA,19,21,21,24,24,15,16,17,9,12,14,14,17,45,11,21,28,12,12,24,37,38,25,37,40,42,44,8,24,27,12,12,23,17,17,20,20,20,21,23,25,27,27,16,16,30,17,22,37,16,22,22,24,24,25,25,32,10,13,22,23,30,20
060770009005,17,17,18,10,18,21,24,29,14,15,48,20,24,29,29,38,11,14,34,27,27,35,14,25,35,36,56,13,14,17,25,25,15,26,36,37,55,15,16,16,20,24,40,20,20,20,24,26,26,7,15,26,11,16,16,15,15,30,13,19,30,30,40,28,30,35,22,24,24,25,27,18,19,20,12,15,33,17,20,48,14,22,43,15,15,27,40,41,8,40,43,43,47,11,28,28,14,18,24,20,21,23,23,24,26,26,28,30,30,19,19,37,20,25,40,19,19,23,27,27,28,28,35,13,16,25,26,36,23
060770010002,23,23,23,5,14,25,26,28,12,16,54,23,29,33,35,39,13,37,38,33,33,41,13,21,39,61,61,22,28,28,29,45,16,16,16,24,60,19,20,20,26,29,46,25,25,25,31,52,56,9,14,24,15,33,46,13,13,35,20,22,33,33,46,6,30,35,26,27,27,30,33,17,17,17,9,14,15,13,16,54,16,27,46,13,14,26,45,46,28,33,36,47,53,7,31,32,16,16,31,26,26,28,29,30,31,32,34,36,36,24,24,42,26,29,46,25,26,34,32,33,34,34,40,13,14,24,25,39,28
060770010003,28,30,33,11,20,21,26,32,18,21,59,24,29,34,34,34,18,38,44,40,40,46,18,30,38,58,67,30,33,36,52,54,19,21,22,31,66,24,25,27,31,34,51,31,31,31,21,33,55,16,17,25,20,32,57,13,18,33,28,30,37,38,52,26,35,42,32,32,32,35,39,22,22,22,20,22,68,14,17,59,21,29,51,18,22,50,52,58,16,17,52,54,58,13,36,37,21,21,32,31,31,34,34,35,37,39,40,41,41,30,33,48,32,34,51,28,30,39,37,38,39,39,46,17,19,31,31,44,35
060770010004,27,27,28,10,19,29,37,42,17,20,62,30,34,38,43,52,18,41,43,37,37,49,17,26,49,70,70,18,23,37,37,37,21,32,34,36,69,23,25,25,34,37,54,34,34,34,37,40,47,13,19,28,19,41,51,16,18,39,23,41,51,51,51,35,36,45,36,37,38,41,41,25,25,57,14,19,19,18,20,58,20,32,50,18,21,35,50,51,32,53,55,57,58,12,38,40,20,28,36,30,31,33,34,37,40,40,40,40,42,29,29,47,34,37,54,29,31,42,40,41,41,42,49,18,20,34,34,39,33
060770011011,20,22,28,5,9,11,13,36,13,27,51,21,24,24,25,25,10,11,28,29,32,32,10,10,11,37,48,10,25,29,44,48,10,13,13,25,58,14,14,15,23,26,43,22,22,22,21,24,34,8,15,15,12,13,13,3,6,10,17,20,22,25,39,29,31,36,23,24,24,30,31,13,13,14,7,11,11,6,7,51,13,22,34,10,10,10,14,30,7,8,44,46,48,5,27,27,13,13,13,24,26,26,27,29,29,30,30,32,33,23,24,40,24,25,43,22,31,36,29,30,31,31,37,8,10,22,23,36,23
060770011012,24,27,28,7,12,16,17,42,17,33,55,20,25,26,28,29,14,15,34,35,35,42,14,14,15,42,56,14,26,29,49,56,16,17,17,18,61,18,18,18,27,30,47,26,26,26,39,45,50,12,21,21,16,17,17,5,10,14,21,22,24,45,45,24,29,35,27,28,28,35,36,17,17,18,11,16,53,10,12,56,17,20,32,14,14,15,34,58,11,12,51,52,55,9,31,32,17,17,20,27,27,30,30,33,33,33,36,36,41,27,28,44,28,29,47,24,26,26,33,35,35,35,41,12,14,26,27,40,27
060770011021,17,18,24,2,10,10,11,34,6,10,48,13,19,23,25,25,7,8,30,27,27,35,7,7,8,30,35,8,13,25,42,45,10,11,11,24,56,12,12,12,20,23,40,20,20,20,31,37,44,8,17,17,10,10,10,2,6,7,12,15,21,37,37,24,30,31,21,22,27,29,29,11,11,11,4,9,9,6,9,48,10,13,22,7,7,11,27,47,5,20,42,43,45,2,25,27,10,10,10,21,23,23,24,26,27,28,29,30,30,19,21,37,20,25,40,19,19,33,27,27,28,28,35,7,8,22,22,34,21
060770011023,21,27,36,4,13,24,27,38,11,14,52,21,27,27,27,32,12,36,37,31,31,39,19,37,51,59,60,11,27,29,29,47,12,15,22,23,58,17,18,18,24,27,44,24,24,24,21,21,50,13,13,23,13,16,25,10,11,12,21,23,31,31,44,3,28,33,25,25,25,25,32,15,15,15,13,13,60,12,14,52,14,29,44,11,15,31,44,51,11,25,26,32,35,6,29,30,14,14,16,24,24,27,27,28,30,30,31,34,34,22,23,26,23,27,44,23,23,25,31,31,32,32,38,11,12,22,23,37,26
060770011024,19,20,26,2,12,13,30,36,8,12,50,16,25,27,27,34,9,10,32,30,30,37,9,9,32,37,40,10,11,16,17,27,12,13,24,26,57,14,14,17,22,25,42,22,22,22,12,18,43,9,10,19,12,12,12,6,9,27,17,17,23,26,39,20,30,32,23,24,24,30,31,13,13,13,6,11,12,8,10,51,12,15,27,9,9,11,29,43,6,9,31,42,44,4,27,29,12,12,16,23,23,25,25,27,28,29,29,30,32,20,21,24,22,27,42,21,21,21,29,30,30,30,37,9,10,24,24,36,23
060770011025,21,27,36,4,14,22,32,38,10,14,52,17,22,27,28,28,11,12,34,31,31,39,11,20,34,52,60,12,13,21,26,47,13,14,14,14,59,18,18,23,24,27,44,24,24,24,12,20,49,11,11,21,13,14,14,8,11,29,19,23,28,31,41,21,26,33,24,25,25,25,31,14,15,15,12,14,61,10,12,52,14,29,44,10,12,31,45,51,8,11,33,43,52,6,29,30,14,14,16,24,24,27,27,28,30,30,32,34,34,22,25,26,24,28,44,23,23,23,31,31,32,32,39,11,12,25,26,37,27
060770012001,18,19,30,7,7,8,12,31,25,25,46,16,17,17,19,20,5,6,26,24,26,27,5,32,45,47,47,7,13,14,15,47,7,8,9,20,54,10,10,10,18,21,38,17,17,18,8,10,31,3,13,13,8,12,12,1,5,5,7,8,15,17,33,27,31,44,18,19,20,27,27,8,8,9,4,7,7,2,4,48,8,25,28,5,5,9,25,49,4,16,39,43,45,5,21,22,8,8,8,19,21,24,24,25,26,27,27,31,33,18,20,38,19,20,38,19,26,32,24,24,25,26,32,3,7,17,18,31,18
060770012002,12,22,29,5,6,7,12,30,23,23,45,14,16,18,23,35,3,4,23,26,31,32,3,31,40,43,44,4,10,11,19,40,4,5,12,19,53,8,8,8,17,20,37,16,16,17,6,7,26,2,12,12,6,10,10,3,3,7,6,7,8,16,19,24,43,NA,17,18,18,22,25,7,7,8,4,5,5,3,6,43,6,16,20,3,7,10,24,42,2,15,38,38,40,5,20,21,6,6,6,18,18,19,20,21,24,25,25,26,26,13,14,28,18,19,37,14,25,28,23,23,23,25,25,2,2,16,17,30,17
060770012003,9,14,25,7,7,8,8,26,4,25,41,12,14,14,14,16,2,7,25,19,20,28,1,2,6,26,27,1,3,5,12,37,4,4,4,15,48,5,5,5,13,16,33,12,12,12,5,14,24,4,14,14,7,8,8,6,9,19,3,3,5,10,12,14,16,26,13,14,15,20,21,6,7,7,2,2,2,6,9,41,12,12,24,2,3,15,33,40,2,17,19,34,36,5,17,18,4,4,4,13,15,16,17,19,20,20,21,22,26,11,13,26,13,16,33,11,16,25,19,19,20,20,27,1,4,12,12,26,13
060770012004,13,18,28,5,9,9,11,30,4,7,44,9,13,18,19,19,4,7,30,22,23,24,4,6,30,31,43,4,9,19,37,41,6,7,7,23,52,8,8,8,16,19,36,15,15,15,6,8,14,7,17,17,6,8,42,4,6,7,6,8,15,17,33,17,25,31,16,17,17,23,24,8,9,9,5,5,7,6,9,44,9,19,27,4,5,5,16,23,1,19,26,37,39,2,21,24,6,7,7,16,19,19,20,22,22,23,25,26,29,15,16,32,15,19,36,15,19,29,23,23,24,24,30,4,5,14,15,29,16
060770013001,12,13,22,3,6,10,12,19,6,18,38,12,13,16,25,34,5,11,27,18,21,24,5,6,18,19,37,5,7,10,12,15,5,6,6,8,44,5,5,5,10,11,30,9,9,10,6,13,41,8,10,10,10,14,17,5,11,13,2,5,7,12,25,10,16,22,11,11,11,15,21,2,3,3,5,5,5,10,13,42,7,17,19,5,5,5,9,15,8,13,15,30,39,10,12,12,6,6,6,12,14,15,16,18,18,19,20,21,23,10,11,12,8,10,10,11,13,13,16,16,16,18,18,7,8,8,8,21,10
060770013002,9,12,23,4,10,10,10,24,21,21,38,11,18,18,18,28,3,8,26,16,17,21,3,22,23,38,46,5,12,30,35,38,4,4,4,12,45,4,4,4,10,13,30,10,10,10,3,4,24,5,10,10,10,11,14,13,13,16,2,5,9,12,27,10,22,NA,11,11,12,19,19,2,3,3,2,3,38,7,11,41,9,10,33,2,3,3,12,33,6,10,13,32,38,8,14,16,4,4,4,11,12,13,13,15,17,18,20,23,23,10,10,12,9,13,30,13,19,26,17,17,18,18,25,4,5,5,9,24,11
